run,mode,size_kb,enc_ms,dec_ms,net_ms,e2e_ms,payload_size_bytes
1,RSA,1,0.6608,33.0667,7.8863,41.6138,2883
2,RSA,1,0.7385,35.3056,23.4724,59.5165,2883
3,RSA,1,0.7563,38.5362,5.5555,44.848,2883
4,RSA,1,0.5557,30.1284,44.4953,75.1794,2883
5,RSA,1,0.4581,29.0899,25.9995,55.5475,2883
6,RSA,1,0.6324,30.0707,18.3123,49.0154,2883
7,RSA,1,0.5523,30.8212,5.2234,36.5969,2883
8,RSA,1,0.7068,35.1581,25.5512,61.4161,2883
9,RSA,1,0.3712,35.6434,5.6438,41.6584,2883
10,RSA,1,0.7141,36.1696,4.3452,41.2289,2884
11,RSA,1,0.3191,61.0469,25.2515,86.6175,2884
12,RSA,1,0.4685,31.8103,17.6905,49.9693,2884
13,RSA,1,0.3987,31.9212,17.5568,49.8767,2884
14,RSA,1,0.7117,31.1318,40.3649,72.2084,2884
15,RSA,1,0.6174,31.7784,18.3687,50.7645,2884
16,RSA,1,0.7804,34.3665,18.3117,53.4586,2884
17,RSA,1,0.9315,41.8813,4.4248,47.2376,2884
18,RSA,1,0.6051,32.2815,16.5246,49.4112,2884
19,RSA,1,0.6768,29.4746,43.3224,73.4738,2884
20,RSA,1,0.4719,34.3733,4.8858,39.731,2884
21,RSA,1,0.3399,34.6935,3.332,38.3654,2884
22,RSA,1,0.4781,34.8896,14.6213,49.989,2884
23,RSA,1,0.7578,32.3137,19.2081,52.2796,2884
24,RSA,1,0.552,34.9584,20.3526,55.863,2883
25,RSA,1,0.4485,33.4153,27.5984,61.4622,2884
26,RSA,1,0.4434,32.5341,21.3054,54.2829,2884
27,RSA,1,0.7317,32.7626,5.1734,38.6677,2884
28,RSA,1,0.4055,34.6687,17.1004,52.1746,2884
29,RSA,1,0.6247,32.9779,25.834,59.4366,2884
30,RSA,1,0.4192,35.5618,21.8573,57.8383,2884
1,RSA,10,0.5436,37.0928,6.5879,44.2243,21315
2,RSA,10,0.4017,40.3607,17.6229,58.3853,21315
3,RSA,10,1.1902,50.255,6.2889,57.7341,21315
4,RSA,10,1.197,38.5903,19.2299,59.0172,21314
5,RSA,10,0.9809,37.1459,19.6459,57.7727,21315
6,RSA,10,0.4775,38.4663,19.7859,58.7297,21315
7,RSA,10,0.3342,37.9474,20.8157,59.0973,21315
8,RSA,10,1.1091,37.3862,19.7796,58.2749,21315
9,RSA,10,0.6458,35.9898,18.4764,55.112,21315
10,RSA,10,0.415,38.0484,6.2913,44.7547,21315
11,RSA,10,0.6754,32.1051,26.3771,59.1576,21316
12,RSA,10,0.7852,87.0516,6.2539,94.0907,21316
13,RSA,10,0.5127,189.7217,7.0122,197.2466,21316
14,RSA,10,0.9236,171.0101,9.4047,181.3384,21316
15,RSA,10,3.5587,168.1024,10.5902,182.2513,21316
16,RSA,10,1.0863,153.4115,18.759,173.2568,21316
17,RSA,10,1.0422,154.2291,20.4128,175.6841,21316
18,RSA,10,0.8179,117.1289,20.8489,138.7957,21316
19,RSA,10,0.8245,131.1206,47.7867,179.7318,21316
