phase,timestamp,server_received,server_failed,server_rejected,gw_sent,gw_buffered,gw_retry_sent,gw_pending_buffer,buffer_files
online,22:13:15,3,0,0,3,0,0,0,0
online,22:13:17,3,0,0,3,0,0,0,0
online,22:13:19,3,0,0,3,0,0,0,0
online,22:13:21,4,0,0,4,0,0,0,0
online,22:13:23,4,0,0,4,0,0,0,0
online,22:13:25,4,0,0,4,0,0,0,0
online,22:13:27,5,0,0,5,0,0,0,0
online,22:13:29,5,0,0,5,0,0,0,0
online,22:13:31,5,0,0,5,0,0,0,0
online,22:13:33,6,0,0,6,0,0,0,0
online,22:13:35,6,0,0,6,0,0,0,0
online,22:13:37,6,0,0,6,0,0,0,0
online,22:13:39,7,0,0,7,0,0,0,0
online,22:13:41,7,0,0,7,0,0,0,0
online,22:13:43,7,0,0,7,0,0,0,0
downtime,22:14:02,0,0,0,9,1,0,1,1
downtime,22:14:06,0,0,0,9,1,0,1,1
downtime,22:14:10,0,0,0,9,1,0,1,2
downtime,22:14:14,0,0,0,9,2,0,2,2
downtime,22:14:18,0,0,0,9,2,0,2,2
downtime,22:14:22,0,0,0,9,3,0,3,3
downtime,22:14:27,0,0,0,9,3,0,3,3
downtime,22:14:31,0,0,0,9,3,0,3,4
recovery,22:14:46,0,0,0,9,5,0,5,5
recovery,22:14:48,1,0,0,10,5,0,5,5
recovery,22:14:50,1,0,0,10,5,0,5,5
recovery,22:14:52,6,0,0,10,5,5,0,0
