run,rsa_gen_ms,rsa_verify_ms,ecc_gen_ms,ecc_verify_ms,,,,
1,226.8152,0.0494,0.6876,0.0376,,,,
2,185.603,0.0096,0.131,0.0089,,,,
3,58.8236,0.0097,0.0841,0.0081,,,,
4,12.4156,0.0089,0.0839,0.0079,,,,
5,62.2674,0.0085,0.0834,0.0081,,,RSA,ECC
6,52.0389,0.0094,0.0822,0.0092,,Mean Generate,59.14481,0.12902
7,21.7464,0.0097,0.1202,0.0078,,Std Generate,47.960381,0.1097935
8,48.2952,0.0109,0.084,0.0079,,Mean Verify,0.0108,0.01145
9,45.55,0.0111,0.0827,0.0079,,Std Verify,0.007386801,0.007519526
10,57.5976,0.0093,0.0803,0.0091,,,,
11,11.7245,0.008,0.0809,0.0078,,,,
12,66.466,0.0092,0.1842,0.0111,,,,
13,52.353,0.0095,0.1737,0.0226,,,,
14,19.6663,0.0077,0.0812,0.0079,,,,
15,84.1469,0.0096,0.0861,0.0078,,,,
16,30.1886,0.0092,0.0856,0.0079,,,,
17,88.4761,0.0088,0.1706,0.0088,,,,
18,41.243,0.0094,0.0951,0.0087,,,,
19,19.3664,0.0079,0.1084,0.0112,,,,
20,11.6233,0.0083,0.1354,0.0223,,,,
21,15.1362,0.0078,0.1066,0.0333,,,,
22,46.5744,0.0089,0.1344,0.0096,,,,
23,79.4814,0.0097,0.1317,0.0099,,,,
24,53.4345,0.0105,0.1594,0.0082,,,,
25,41.5355,0.0094,0.0914,0.0078,,,,
26,69.6333,0.0097,0.1134,0.0088,,,,
27,52.6864,0.0139,0.1041,0.0078,,,,
28,124.1738,0.0104,0.0938,0.0136,,,,
29,67.1987,0.0101,0.1068,0.008,,,,
30,28.0831,0.0095,0.1084,0.0079,,,,
