# RAW DATA (n=30 per mode)
run,mode,session_key_gen_ms,ephemeral_key_gen_ms,load_pubkey_ms,rsa_oaep_encrypt_ms,ecdh_ms,hkdf_ms,total_key_prep_ms
1,RSA,0.0101,,0.9661,0.5141,,,1.4903
2,RSA,0.008,,0.7621,0.4671,,,1.2372
3,RSA,0.0101,,0.8873,0.5574,,,1.4548
4,RSA,0.0088,,0.8466,0.5655,,,1.4209
5,RSA,0.0121,,0.7576,0.4644,,,1.2341
6,RSA,0.0078,,0.7568,0.4725,,,1.2371
7,RSA,0.0082,,0.7627,0.4616,,,1.2325
8,RSA,0.0079,,0.7466,0.4531,,,1.2076
9,RSA,0.0204,,0.7797,0.4729,,,1.273
10,RSA,0.0076,,0.8037,0.4681,,,1.2794
11,RSA,0.009,,0.8526,0.5669,,,1.4285
12,RSA,0.0078,,0.7353,0.4586,,,1.2017
13,RSA,0.0124,,0.7419,0.4568,,,1.2111
14,RSA,0.0082,,0.6692,0.4786,,,1.156
15,RSA,0.0079,,0.7758,0.5807,,,1.3644
16,RSA,0.0094,,0.8825,0.5629,,,1.4548
17,RSA,0.0089,,0.9236,0.5801,,,1.5126
18,RSA,0.0094,,0.8798,0.5664,,,1.4556
19,RSA,0.0112,,0.7522,0.4541,,,1.2175
20,RSA,0.0078,,0.7657,0.4522,,,1.2257
21,RSA,0.0118,,0.7546,0.5209,,,1.2873
22,RSA,0.0115,,0.7803,0.4557,,,1.2475
23,RSA,0.0076,,0.7426,0.453,,,1.2032
24,RSA,0.0079,,0.7469,0.459,,,1.2138
25,RSA,0.0125,,0.918,0.5445,,,1.475
26,RSA,0.0076,,1.2101,0.5635,,,1.7812
27,RSA,0.0073,,0.7538,0.4626,,,1.2237
28,RSA,0.0086,,0.8441,0.525,,,1.3777
29,RSA,0.0091,,0.855,0.5525,,,1.4166
30,RSA,0.0089,,0.8552,0.6746,,,1.5387
1,ECC,,0.4193,0.8893,,0.1827,0.1548,1.6461
2,ECC,,0.4971,0.879,,0.1851,0.16,1.7212
3,ECC,,0.4371,0.8697,,0.183,0.1354,1.6252
4,ECC,,0.4315,0.874,,0.1831,0.1337,1.6223
5,ECC,,0.4333,0.8569,,0.1826,0.1495,1.6223
6,ECC,,0.4312,0.8596,,0.1826,0.1453,1.6187
7,ECC,,0.4173,0.8553,,0.1849,0.1315,1.589
8,ECC,,0.4276,0.8405,,0.1826,0.1438,1.5945
9,ECC,,0.4435,0.7201,,0.1618,0.121,1.4464
10,ECC,,0.4173,0.7655,,0.1624,0.114,1.4592
11,ECC,,0.4291,0.8825,,0.1863,0.1352,1.6331
12,ECC,,0.3728,0.761,,0.1645,0.2606,1.5589
13,ECC,,0.4393,0.7916,,0.1637,0.1339,1.5285
14,ECC,,0.4074,0.8107,,0.1642,0.1336,1.5159
15,ECC,,0.3932,0.7409,,0.1734,0.1328,1.4403
16,ECC,,0.4548,0.8958,,0.1808,0.1387,1.6701
17,ECC,,0.4346,0.9539,,0.1878,0.1344,1.7107
18,ECC,,0.4206,0.8724,,0.1842,0.1343,1.6115
19,ECC,,0.4354,0.8684,,0.1824,0.1578,1.644
20,ECC,,0.4193,0.8394,,0.1818,0.1322,1.5727
21,ECC,,0.4281,0.8809,,0.1823,0.1303,1.6216
22,ECC,,0.4193,0.843,,0.2168,0.1285,1.6076
23,ECC,,0.4731,0.9278,,0.1861,0.1641,1.7511
24,ECC,,0.4172,0.8358,,0.1838,0.1307,1.5675
25,ECC,,0.4238,1.0264,,0.1927,0.1498,1.7927
26,ECC,,0.4301,0.8391,,0.1837,0.1303,1.5832
27,ECC,,0.4381,0.8722,,0.1852,0.1495,1.645
28,ECC,,0.4845,0.8403,,0.1825,0.131,1.6383
29,ECC,,0.4255,0.9197,,0.1865,0.1337,1.6654
30,ECC,,0.4334,0.8576,,0.1849,0.1505,1.6264


"# RINGKASAN STATISTIK (mean ± std_dev, n=30)"
section,mode,metric,mean_ms,std_dev_ms,n
summary,RSA-2048,Session key gen (os.urandom),0.0095,0.0026,30
summary,RSA-2048,Load public key,0.8169,0.1016,30
summary,RSA-2048,RSA-OAEP encrypt session key,0.5088,0.0575,30
summary,RSA-2048,TOTAL key preparation,1.3353,0.143,30
summary,ECC X25519,Ephemeral key gen (X25519),0.4312,0.0238,30
summary,ECC X25519,Load public key,0.8556,0.0617,30
summary,ECC X25519,ECDH (X25519 exchange),0.1815,0.0106,30
summary,ECC X25519,HKDF-SHA256 derive,0.1427,0.0251,30
summary,ECC X25519,TOTAL key preparation,1.611,0.0808,30
