sequence_number,phase,status,timestamp
1,ONLINE,sent_directly,2026-05-15 13:24:20
2,ONLINE,sent_directly,2026-05-15 13:24:20
3,ONLINE,sent_directly,2026-05-15 13:24:20
4,ONLINE,sent_directly,2026-05-15 13:24:20
5,ONLINE,sent_directly,2026-05-15 13:24:20
6,ONLINE,sent_directly,2026-05-15 13:24:20
7,ONLINE,sent_directly,2026-05-15 13:24:20
8,ONLINE,sent_directly,2026-05-15 13:24:20
9,ONLINE,sent_directly,2026-05-15 13:24:20
10,ONLINE,sent_directly,2026-05-15 13:24:20
11,ONLINE,sent_directly,2026-05-15 13:24:20
12,ONLINE,sent_directly,2026-05-15 13:24:20
13,ONLINE,sent_directly,2026-05-15 13:24:20
14,ONLINE,sent_directly,2026-05-15 13:24:20
15,ONLINE,sent_directly,2026-05-15 13:24:20
16,ONLINE,sent_directly,2026-05-15 13:24:20
17,ONLINE,sent_directly,2026-05-15 13:24:20
18,ONLINE,sent_directly,2026-05-15 13:24:20
19,ONLINE,sent_directly,2026-05-15 13:24:20
20,ONLINE,sent_directly,2026-05-15 13:24:20
21,ONLINE,sent_directly,2026-05-15 13:24:20
22,ONLINE,sent_directly,2026-05-15 13:24:20
23,ONLINE,sent_directly,2026-05-15 13:24:20
24,ONLINE,sent_directly,2026-05-15 13:24:20
25,ONLINE,sent_directly,2026-05-15 13:24:20
26,ONLINE,sent_directly,2026-05-15 13:24:20
27,ONLINE,sent_directly,2026-05-15 13:24:20
28,ONLINE,sent_directly,2026-05-15 13:24:20
29,ONLINE,sent_directly,2026-05-15 13:24:20
30,ONLINE,sent_directly,2026-05-15 13:24:20
31,OFFLINE,buffered_locally,2026-05-15 13:24:20
32,OFFLINE,buffered_locally,2026-05-15 13:24:20
33,OFFLINE,buffered_locally,2026-05-15 13:24:20
34,OFFLINE,buffered_locally,2026-05-15 13:24:20
35,OFFLINE,buffered_locally,2026-05-15 13:24:20
36,OFFLINE,buffered_locally,2026-05-15 13:24:20
37,OFFLINE,buffered_locally,2026-05-15 13:24:20
38,OFFLINE,buffered_locally,2026-05-15 13:24:20
39,OFFLINE,buffered_locally,2026-05-15 13:24:20
40,OFFLINE,buffered_locally,2026-05-15 13:24:20
41,OFFLINE,buffered_locally,2026-05-15 13:24:20
42,OFFLINE,buffered_locally,2026-05-15 13:24:20
43,OFFLINE,buffered_locally,2026-05-15 13:24:20
44,OFFLINE,buffered_locally,2026-05-15 13:24:20
45,OFFLINE,buffered_locally,2026-05-15 13:24:20
46,OFFLINE,buffered_locally,2026-05-15 13:24:20
47,OFFLINE,buffered_locally,2026-05-15 13:24:20
48,OFFLINE,buffered_locally,2026-05-15 13:24:20
49,OFFLINE,buffered_locally,2026-05-15 13:24:20
50,OFFLINE,buffered_locally,2026-05-15 13:24:20
51,OFFLINE,buffered_locally,2026-05-15 13:24:20
52,OFFLINE,buffered_locally,2026-05-15 13:24:20
53,OFFLINE,buffered_locally,2026-05-15 13:24:20
54,OFFLINE,buffered_locally,2026-05-15 13:24:20
55,OFFLINE,buffered_locally,2026-05-15 13:24:20
56,OFFLINE,buffered_locally,2026-05-15 13:24:20
57,OFFLINE,buffered_locally,2026-05-15 13:24:20
58,OFFLINE,buffered_locally,2026-05-15 13:24:20
59,OFFLINE,buffered_locally,2026-05-15 13:24:20
60,OFFLINE,buffered_locally,2026-05-15 13:24:20
31,RECOVERY,sent_after_recovery,2026-05-15 13:24:20
32,RECOVERY,sent_after_recovery,2026-05-15 13:24:20
33,RECOVERY,sent_after_recovery,2026-05-15 13:24:20
34,RECOVERY,sent_after_recovery,2026-05-15 13:24:20
35,RECOVERY,sent_after_recovery,2026-05-15 13:24:20
36,RECOVERY,sent_after_recovery,2026-05-15 13:24:20
37,RECOVERY,sent_after_recovery,2026-05-15 13:24:20
38,RECOVERY,sent_after_recovery,2026-05-15 13:24:20
39,RECOVERY,sent_after_recovery,2026-05-15 13:24:20
40,RECOVERY,sent_after_recovery,2026-05-15 13:24:20
41,RECOVERY,sent_after_recovery,2026-05-15 13:24:20
42,RECOVERY,sent_after_recovery,2026-05-15 13:24:20
43,RECOVERY,sent_after_recovery,2026-05-15 13:24:20
44,RECOVERY,sent_after_recovery,2026-05-15 13:24:20
45,RECOVERY,sent_after_recovery,2026-05-15 13:24:20
46,RECOVERY,sent_after_recovery,2026-05-15 13:24:20
47,RECOVERY,sent_after_recovery,2026-05-15 13:24:20
48,RECOVERY,sent_after_recovery,2026-05-15 13:24:20
49,RECOVERY,sent_after_recovery,2026-05-15 13:24:20
50,RECOVERY,sent_after_recovery,2026-05-15 13:24:20
51,RECOVERY,sent_after_recovery,2026-05-15 13:24:20
52,RECOVERY,sent_after_recovery,2026-05-15 13:24:20
53,RECOVERY,sent_after_recovery,2026-05-15 13:24:20
54,RECOVERY,sent_after_recovery,2026-05-15 13:24:20
55,RECOVERY,sent_after_recovery,2026-05-15 13:24:20
56,RECOVERY,sent_after_recovery,2026-05-15 13:24:20
57,RECOVERY,sent_after_recovery,2026-05-15 13:24:20
58,RECOVERY,sent_after_recovery,2026-05-15 13:24:20
59,RECOVERY,sent_after_recovery,2026-05-15 13:24:20
60,RECOVERY,sent_after_recovery,2026-05-15 13:24:20
61,ONLINE_2,sent_directly,2026-05-15 13:24:20
62,ONLINE_2,sent_directly,2026-05-15 13:24:20
63,ONLINE_2,sent_directly,2026-05-15 13:24:20
64,ONLINE_2,sent_directly,2026-05-15 13:24:20
65,ONLINE_2,sent_directly,2026-05-15 13:24:20
66,ONLINE_2,sent_directly,2026-05-15 13:24:20
67,ONLINE_2,sent_directly,2026-05-15 13:24:20
68,ONLINE_2,sent_directly,2026-05-15 13:24:20
69,ONLINE_2,sent_directly,2026-05-15 13:24:20
70,ONLINE_2,sent_directly,2026-05-15 13:24:20
